State,Estimated Fathers Denied Visitation
Alabama,"~210,000"
Alaska,"~35,000"
Arizona,"~260,000"
Arkansas,"~140,000"
California,"~1,900,000"
Colorado,"~240,000"
Connecticut,"~130,000"
Delaware,"~40,000"
Florida,"~1,100,000"
Georgia,"~480,000"
Hawaii,"~50,000"
Idaho,"~70,000"
Illinois,"~620,000"
Indiana,"~300,000"
Iowa,"~140,000"
Kansas,"~120,000"
Kentucky,"~170,000"
Louisiana,"~210,000"
Maine,"~50,000"
Maryland,"~220,000"
Massachusetts,"~230,000"
Michigan,"~420,000"
Minnesota,"~210,000"
Mississippi,"~130,000"
Missouri,"~260,000"
Montana,"~40,000"
Nebraska,"~80,000"
Nevada,"~120,000"
New Hampshire,"~50,000"
New Jersey,"~330,000"
New Mexico,"~90,000"
New York,"~750,000"
North Carolina,"~430,000"
North Dakota,"~30,000"
Ohio,"~480,000"
Oklahoma,"~170,000"
Oregon,"~150,000"
Pennsylvania,"~520,000"
Rhode Island,"~40,000"
South Carolina,"~200,000"
South Dakota,"~30,000"
Tennessee,"~280,000"
Texas,"~1,600,000"
Utah,"~120,000"
Vermont,"~25,000"
Virginia,"~330,000"
Washington,"~260,000"
West Virginia,"~70,000"
Wisconsin,"~220,000"
Wyoming,"~20,000"
